IHC,"Independence Holding Company",NYSE,False,14.49
EBMT,"Eagle Bancorp Montana",NASDAQ,False,11.29
VIVO,"Meridian Bioscience Inc.",NASDAQ,True,23.09
CARB,"Carbonite Inc.",NASDAQ,True,13.36
FBR,"Fibria Celulose S.A.",NYSE,True,10.67
AFAM,"Almost Family Inc",NASDAQ,True,19.41
MOD,"Modine Manufacturing Company",NYSE,False,13.47
CARV,"Carver Bancorp",NASDAQ,False,6.13
AGII,"Argo Group International Holdings Ltd",NASDAQ,False,42.98
PNRG,"Primeenergy Corp.",NASDAQ,True,46.50
RUK,"Reed Elsevier Plc",NYSE,True,50.53
OMX,"Officemax Inc.",NYSE,True,11.35
ACU,"Acme United Corporation.",AMEX,True,13.72
OREX,"Orexigen Therapeutics",NASDAQ,True,6.93
CWCO,"Consolidated Water Co. Ltd",NASDAQ,True,12.09
TCCO,"Technical Communications Corp.",NASDAQ,True,6.89
ECHO,"Echo Global Logistics",NASDAQ,True,21.87
CLIR,"Clearsign Combustion Corporatio",NASDAQ,False,8.26
CKX,"Ckx Lands",AMEX,True,14.36
GSK,"Glaxosmithkline Plc",NYSE,True,51.53
ADSK,"Autodesk",NASDAQ,True,36.04
SLXP,"Salix Pharmaceuticals",NASDAQ,True,67.10
TRK,"Speedway Motorsports",NYSE,True,18.05
MOFG,"Midwestone Financial Group",NASDAQ,False,25.57
HAE,"Haemonetics Corp.",NYSE,True,40.63
AYR,"Aircastle Limited",NYSE,False,16.51
KOOL,"Thermogenesis",NASDAQ,True,1.37
ACPW,"Active Power",NASDAQ,True,3.47
SARA,"Saratoga Res Inc",AMEX,False,1.62
FIBK,"First Interstate Bancsystem",NASDAQ,False,23.32
TROW,"T. Rowe Price Group",NASDAQ,True,72.72
FUL,"H. B. Fuller Company",NYSE,True,38.58
SYUT,"Synutra International",NASDAQ,False,4.75
KOSS,"Koss Corp.",NASDAQ,True,5.13
AFL,"Aflac Incorporated",NYSE,True,60.39
PEBK,"Peoples Bancorp Of North Carolina",NASDAQ,True,13.00
INFA,"Informatica Corp.",NASDAQ,True,37.88
SIBC,"State Investors Bancorp Inc.",NASDAQ,False,15.27
FCFS,"First Cash Financial Services",NASDAQ,True,55.07
UNP,"Union Pacific Corp.",NYSE,True,156.78
BGG,"Briggs & Stratton Corp.",NYSE,True,19.02
PACW,"Pacwest Bancorp",NASDAQ,True,34.42
XUE,"Xueda Education Group",NYSE,False,4.00
RGA,"Reinsurance Group Of America Inc.",NYSE,True,65.06
NSP,"Insperity Inc",NYSE,True,33.31
IEC,"Iec Electronics",AMEX,False,3.55
CALI,"China Auto Logistics Inc.",NASDAQ,False,2.29
SFY,"Swift Energy Company",NYSE,True,12.11
OIIM,"O2Micro International Limited",NASDAQ,True,3.17
CAW,"Cca Industries",AMEX,True,3.50
GLBZ,"Glen Burnie Bancorp",NASDAQ,False,12.25
ADT,"Adt Corporation Common Stock W",NYSE,True,40.12
NBR,"Nabors Industries",NYSE,True,15.71
EVC,"Entravision Communications Corp.",NYSE,True,5.50
HTBX,"Heat Biologics Inc.",NASDAQ,False,9.87
AVY,"Avery Dennison Corp.",NYSE,True,44.06
RTI,"Rti International Metals",NYSE,True,31.72
ETAK,"Elephant Talk Commun",AMEX,True,0.76
CBRX,"Columbia Laboratories",NASDAQ,True,7.35
ROCM,"Rochester Medical Corp.",NASDAQ,True,14.43
BDX,"Becton Dickinson And Company",NYSE,True,97.83
CLNY,"Colony Financial Inc",NYSE,False,20.26
HZO,"Marinemax",NYSE,True,11.53
SPA,"Sparton Corp.",NYSE,True,17.61
BAC,"Bank Of America Corp.",NYSE,True,14.32
FCCO,"First Community Corp.",NASDAQ,True,10.31
ELLO,"Ellomay Capital Ltd Ordinary Sh",AMEX,False,8.35
ARLP,"Alliance Resource Partners L.P.",NASDAQ,True,74.85
NMFC,"New Mountain Finance Corporati",NYSE,False,14.54
GHDX,"Genomic Health",NASDAQ,True,31.60
